Name,Fax,CHx,SLx,Faz,CHz,SLz
Aaron Thompson,4.5,7.9,0.2,10.8,6.7,0.9
Jon Edwards,-2.1,,1.1,10.8,,2
Jacob Brigham,-3.9,-7.8,1.2,8.6,2.8,0.7
Josh Ravin,-5.1,1.1,4,8.1,11.3,-0.2
Angel Castro,-4.1,-7.1,5.7,8.5,5.6,-2
Jumbo Diaz,-4.1,-7.5,4.2,9,3.2,0.9
Carlos Frias,-5.3,-7.8,2.1,7.3,4.6,-0.6
Enrique Burgos,-3.9,,3.7,9.6,,2.2
Enny Romero,7,9.2,,10,5.4,
Marcus Hatley,-3,,,9.1,,
Erik Cordier,-5.1,,1.7,9.9,,-0.3
Mitchell Harris,-5,,,10,,
Ryan Kelly,-4.2,,0.6,9.7,,5.5
Mike Montgomery,7,10.7,,8.2,4.7,
Bo Schultz,-7.6,-6.3,1.5,8.7,4.3,-0.4
C.C. Lee,,,3,,,0
Edgar Ibarra,9.8,10,0.9,6.9,3,1
Jose Alvarez,7.2,9.6,0,9,2.6,2.9
Phillippe Aumont,-7.8,,,8,,
Manny Banuelos,6.9,9.2,0.4,8.8,3.6,2.4
Pedro Baez,-4.2,-6.7,0.8,9.4,5.8,3.7
Arodys Vizcaino,-7.2,-7.1,,8.3,5.8,
Arnold Leon,-5.8,-7.6,4.6,9.8,4.7,0.3
Brooks Brown,-6.7,-7.1,1.7,7,4.6,2.5
Junior Guerra,-0.4,-4.1,3.8,9.9,4.6,-3.3
Jose De Paula,7.6,7.6,,8.6,6.4,
Bruce Rondon,-3.8,-8.6,1.7,9.7,5.3,1
Jorge Rondon,-4.8,-5.3,3.1,8.4,5.1,1.2
Jesus Sucre,-6.4,,,6.8,,
Sugar Marimon,-5.2,-9.5,4.5,9.8,5.1,0
Joe Wieland,-2.2,-3.5,,9.7,5.4,
Juan Jaime,-2.8,-1.8,,9.8,2.3,
Diego Moreno,-5.1,-7.8,2,9.1,3.5,3.1
Trevor May,-4.2,-5.5,3.1,9.7,8.3,0.8
Stolmy Pimentel,-6.8,,,8.2,,
Blaine Hardy,3.9,11,0.3,11.7,5.4,7.6
Alex Colome,-1.6,-3.7,,10.9,6.7,
Miguel Socolovich,-3.7,-5.8,2.3,10.2,6.6,1.9
Cesar Cabral,,10.8,1.9,,3.9,0.1
Marcos Mateo,-6.3,-6.7,4.5,8,5.5,2.5
Clint Robinson,6.5,,,7.4,,
Luis Garcia,-3.7,,5.1,5.7,,0.4
Pat Venditte,-0.9,1.7,,5.2,-4.7,
Preston Guilmet,-2.1,,-0.2,11,,2.6
Austin Adams,-2.9,-7.8,2.9,10.1,4.7,-0.5
Jay Jackson,-7,,1.9,8.9,,1.7
Tommy Layne,4.9,8.9,-5.7,7.3,2.8,1.7
Colt Hynes,9.5,9.3,-0.5,6.6,4.2,-0.6
Neil Ramirez,-3.2,-6.4,3.8,11.4,8.3,2.5
David Holmberg,7.6,9.7,-1.8,9.5,4.2,-0.7
Bobby LaFromboise,8,9.1,-0.2,5.8,3.4,3.9
Hunter Strickland,-2.7,-7.7,4.2,7.3,4.6,-1
Jaff Decker,6.6,,,7.2,,
Matt West,-3.7,-6.8,,8.6,2.9,
Jason Gurka,4.7,7.4,-1,9.2,6.4,1.1
Nick Greenwood,,10,-0.2,,2.7,1.2
Steven Wright,-3.5,,,10.5,,
JC Ramirez,-2.9,0,3.2,6.6,0,2.1
Steve Geltz,-2.4,,3.2,11.9,,1.5
Deolis Guerra,-5.7,-7.1,,10.5,4.4,
Adam Wilk,9,8.5,1.2,11,5.5,4.3
John Lamb,5.5,7.1,7.3,10.6,6.4,11.6
Jeff Beliveau,5.1,11.3,,8.7,4.4,
Justin Miller,-4.1,-7.8,1.4,8.5,4.9,2.6
Oliver Drake,-1.4,,3.2,11.9,,-1.1
Arquimedes Caminero,-6,-5,,7.9,7.3,
Kirby Yates,-8.1,-8.5,0.8,8,4.5,2.6
Casey Kelly,-2.8,-4.8,0.5,6.7,4.4,2.9
Kyle Lobstein,7.3,7.7,0,8.6,5.4,3.6
Simon Castro,-6.9,-9.1,0,7.3,6,2.4
David Carpenter,-3.8,,6.7,1.9,,1.6
Zac Rosscup,5.6,,-3,10.6,,2.8
Michael Blazek,-6.4,-8,3.2,9.5,7.9,-1.5
Chaz Roe,-4.1,-8.4,8.5,9.6,3.8,-0.9
Mike Broadway,-5.6,-6.3,2.2,5.9,0.8,-1.5
Pedro Villarreal,-5.8,-6.4,0.6,8.8,5.6,2
Keyvius Sampson,-4.5,-8.3,1.4,9.4,5,4.1
Caleb Cotham,-4,,2.7,9.7,,2.8
Ryan Weber,,-10,,,0.5,
